Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.57231279445662,-1.0144669911412,0.525617437502854,0,0,0,2041.79062805143,712.052351898976,-2.63915135192742E-14,2.34279466657913E-14,713.057731387081,-0.150621370743809,435.977365619412,0,0,0,0,0,0,package://mast_final/meshes/base_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://mast_final/meshes/base_link.STL,,Mast_simplistic_model (1)-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
text_board,0,0.0762000000000005,0.00126999999999988,0,0,0,0.198283474399999,0.00129001264777298,3.98191418820427E-19,-2.32763673216149E-35,0.00129001264777298,1.36369182639754E-21,0.00257981208793538,0,0,0,0,0,0,package://mast_final/meshes/text_board.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mast_final/meshes/text_board.STL,,text_board-1,Origin_text_board_joint,,text_board_joint,fixed,1.5723,-0.93868,1.2601,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
module_holder,-7.99360577730113E-15,0.0762000000000003,0.0197263635737815,0,0,0,0.11214039511857,9.70687893984366E-05,9.26413928290587E-21,2.03829629671887E-18,7.06380938728365E-05,8.35461051015716E-19,7.12797207192067E-05,0,0,0,0,0,0,package://mast_final/meshes/module_holder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mast_final/meshes/module_holder.STL,,module holder-1,Origin_module_holder_joint,,module_holder_joint,fixed,0,0,0,3.1416,0,3.1416,text_board,0,0,0,,,,,,,,,,,,
module,-4.37322122872619E-05,-6.88338275267597E-15,-0.0762437322122753,0,0,0,0.210240234105137,0.000144964399274192,-1.55043735137087E-19,7.69893142388261E-06,0.000210860549972284,5.77492512809805E-20,0.00016320845177539,0,0,0,0,0,0,package://mast_final/meshes/module.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mast_final/meshes/module.STL,,communication module-2,Origin_module_joint,Axis_module_joint,module_joint,fixed,0,0,0.063499999999987,1.5707963267949,1.5707963267949,0,module_holder,0,0,0,,,,,,,,,,,,
antenna,0.0749299249686706,0.444499999999869,0.00116306750727202,0,0,0,0.146772870770587,0.0123105530911053,-1.79128018388E-18,-9.11310607191617E-05,0.000183971311773103,-8.4790022069342E-17,0.012310553091081,0,0,0,0,0,0,package://mast_final/meshes/antenna.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mast_final/meshes/antenna.STL,,antenaa-2,Origin_antenna_joint,Axis_antenna_joint,antenna_joint,fixed,-3.84411947432772E-05,-0.453117894595501,0.000110444908988594,0,1.56939301276017,0,module,0,0,0,,,,,,,,,,,,
text_excrude,-5.10702591327572E-15,0.000127000000000099,-8.88178419700125E-16,0,0,0,0.00360515407999994,7.75319784594322E-07,-1.65086861763454E-19,-1.86910501781115E-19,2.42281375651333E-05,-2.913430086518E-21,2.3452856545559E-05,0,0,0,0,0,0,package://mast_final/meshes/text_excrude.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mast_final/meshes/text_excrude.STL,,text_excrude-1,Origin_text_excrude_joint,,text_excrude_joint,fixed,0,0.16002,0,-1.5708,0,3.1416,text_board,0,0,0,,,,,,,,,,,,
